doi,title,authors,author_affiliations,venue,container_title,event_name,event_location,pages,published_print,published_online,doi_url,acm_page_url,official_pdf_download_url,supplementary_material_url,source_archive_url,github_urls,repository_urls,dataset_urls,arxiv_ids,arxiv_abs_urls,arxiv_pdf_urls,arxiv_source_urls,all_extracted_urls,publisher,license_urls,reference_count,is_referenced_by_count,crossref_type,fetched_at_utc
10.1145/3805622.3810760,From Confrontion to Balance: A Kronecker-Constrained Spectral Entropy Joint Optimization Framework for Multimodal Sentiment Analysis,Feifei Xu; Puzhe Li; Dongyang Li; Bo Li; Luobing Huang; Wenjing Zhu; Zirui Xu; Yu Xie,"Shanghai University of Electric Power, Shanghai, -选择-, China; Shanghai University of Electric Power, Shanghai, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,710-718,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810760,https://dl.acm.org/doi/10.1145/3805622.3810760,https://dl.acm.org/doi/pdf/10.1145/3805622.3810760,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,47,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810758,Graph-Based Rotation-Robust Semantic Modeling for Oriented Object Detection in Remote Sensing Images,Hongning Liu; Xianchao Zhang; Hui Sun; Linlin Zong; Wenxin Liang; Xinyue Liu,"School of Software, Dalian University of Technology, dalian, liaoning, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,719-727,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810758,https://dl.acm.org/doi/10.1145/3805622.3810758,https://dl.acm.org/doi/pdf/10.1145/3805622.3810758,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,35,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810765,Robust Multi-modal Knowledge Graph Completion via Modality-Specific Experts,Haiyan Liu; Xin Song; Ye Wang; Kai Chen; Yuying Liu; Bin Zhou; Hongkui Tu; Liqun Gao; Yue Qian,"National University of Defense Technology, Changsha, China; Harbin Institute of Technology, Shenzhen, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,728-737,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810765,https://dl.acm.org/doi/10.1145/3805622.3810765,https://dl.acm.org/doi/pdf/10.1145/3805622.3810765,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,53,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810755,LaViSE: Language-aware Vision Scale Enhancement for Referring Remote Sensing Image Segmentation,Yan Li; Junjie Zheng; Zhouchao Fu; Shengjie Yang; Junjie Liao; Jianwei Zheng,"Zhejiang University of Technology, Hangzhou, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,738-747,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810755,https://dl.acm.org/doi/10.1145/3805622.3810755,https://dl.acm.org/doi/pdf/10.1145/3805622.3810755,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,47,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810754,Symmetry-Aware Causal Inference for Robust Neural PDE Solvers,Yuanming Xie; Yanzhuo Xiang; Haochen You; Nuoya Liu; Fangzhou Liu; Bo Zhao; Zhaolu Kang; Yue Li; Yuqi Li,"University College London, London, United Kingdom; UC Berkeley, Berkeley, USA; Columbia University, New York, USA; University of Pittsburgh, Oakland, USA; Yale University, New Haven, USA; Peking University, Beijing, China; Purdue University, West Lafayette, USA; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,748-757,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810754,https://dl.acm.org/doi/10.1145/3805622.3810754,https://dl.acm.org/doi/pdf/10.1145/3805622.3810754,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,90,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810750,Ref2Inpaint: 3D Gaussian Inpainting via Visibility-Aware Mask Refinement and VLM-Guided Reference Retrieval,Yining Xu; Yuanyang Zhang; Jingjiao You; Yingjie Huang; Jianbo Mei; Yilong Liu; Li Yao,"Southeast University, Nanjing, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,768-776,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810750,https://dl.acm.org/doi/10.1145/3805622.3810750,https://dl.acm.org/doi/pdf/10.1145/3805622.3810750,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,43,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810806,SaF-AD: Saliency-Adaptive and Feature-Consistent Diffusion for Industrial Anomaly Detection,Yilong Liu; Yuanyang Zhang; Zirui Luo; Kaixi Xu; Yining Xu; Li Yao,"Southeast university, Nanjing, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,777-786,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810806,https://dl.acm.org/doi/10.1145/3805622.3810806,https://dl.acm.org/doi/pdf/10.1145/3805622.3810806,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,47,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810807,Beyond Inconsistent Reasoning: Intermediate Process Direct Preference Optimization on Small Multi-modal Large Language Models for Visual Question Answering,Yongzhu Miao; Puzhen Su; Haoran Yin; Shasha Li; Jintao Tang; Ting Wang,"School of Computer Science, National University of Defense Technology, Changsha, Hunan, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,787-796,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810807,https://dl.acm.org/doi/10.1145/3805622.3810807,https://dl.acm.org/doi/pdf/10.1145/3805622.3810807,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,43,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810808,Mitigating Multimodal Inconsistency via Cognitive Dual-Pathway Reasoning for Intent Recognition,Yifan Wang; Peiwu Wang; Yunxian Chi; Zhinan Gou; Kai Gao,"Hebei University of Science and Technology, Shijiazhuang, China; Hebei University of Economics and Business, Shijiazhuang, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,797-806,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810808,https://dl.acm.org/doi/10.1145/3805622.3810808,https://dl.acm.org/doi/pdf/10.1145/3805622.3810808,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,50,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810857,OpenSGG-VL: Open-Vocabulary 3DSGG with Orthogonal Residual Fusion and Iterative Relation Refinement,Binbin Zhang; Fang Zhou; Liang Xiao; Zhiyong Su; Weiqing Li,"Nanjing University of Science and Technology, Nan Jing, China; National Key Laboratory of Information Systems Engineering, Nan Jing, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,807-816,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810857,https://dl.acm.org/doi/10.1145/3805622.3810857,https://dl.acm.org/doi/pdf/10.1145/3805622.3810857,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,48,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810853,TEA-Mamba: Textual Event-Aware Mamba for Multimodal Time Series Forecasting,Haowei Ran; Zheng Wang; Meijun Sun,"College of Intelligence and Computing, Tianjin University, Tianjin, China and Tianjin Key Laboratory of Machine Learning, Tianjin University, Tianjin, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,817-825,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810853,https://dl.acm.org/doi/10.1145/3805622.3810853,https://dl.acm.org/doi/pdf/10.1145/3805622.3810853,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,44,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810851,SEEDCAP: SEMANTIC EXPANSION AND ENTITY-DRIVEN ZERO-SHOT IMAGE CAPTIONING,Binbin Li; Shupei Xiao; Dayan Wu; Gengqi Yang; Siyu Jia; Zisen Qi,"University of Chinese Academy of Sciences, Beijing, China and Institute of Information Engineering,Chinese Academy of Sciences, Beijing, China; Institute of Information Engineering,Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Biejing, China and Institute of Information Engineering,Chinese Academy of Sciences, Biejing, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,826-834,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810851,https://dl.acm.org/doi/10.1145/3805622.3810851,https://dl.acm.org/doi/pdf/10.1145/3805622.3810851,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,36,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810849,AutoAWG: Adverse Weather Generation with Adaptive Multi-Controls for Automotive Videos,Jiagao Hu; Daiguo Zhou; Danzhen Fu; Fuhao Li; Zepeng Wang; Fei Wang; Wenhua Liao; Jiayi Xie; Haiyang Sun,"MiLM Plus, Xiaomi Inc., Wuhan, China; Xiaomi EV, Shaighai, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,835-844,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810849,https://dl.acm.org/doi/10.1145/3805622.3810849,https://dl.acm.org/doi/pdf/10.1145/3805622.3810849,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,55,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810866,CausalGS: Learning Physical Causality of 3D Dynamic Scenes with Gaussian Representations,Nengbo Lu; Minghua Pan,"Guilin University of Electronic Technology, Guilin, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,845-854,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810866,https://dl.acm.org/doi/10.1145/3805622.3810866,https://dl.acm.org/doi/pdf/10.1145/3805622.3810866,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,53,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810884,ExpV2S: Zero-Shot Expressive Video-to-Speech Synthesis via Latent Diffusion Model,Fang Zhang; Anqi Gou; Linli Xu,"State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China, Hefei, Anhui, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,855-864,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810884,https://dl.acm.org/doi/10.1145/3805622.3810884,https://dl.acm.org/doi/pdf/10.1145/3805622.3810884,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,46,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810882,Rectifying Multimodal Variance: UAPA-HCF for Weakly Supervised Violence Detection,Longkun Shi; Hanlin Hu; Haoze Zheng; Yuanyuan Liao; Turdi Tohti,"School of Computer Science and Technology, Xinjiang University, Urumqi, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,874-883,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810882,https://dl.acm.org/doi/10.1145/3805622.3810882,https://dl.acm.org/doi/pdf/10.1145/3805622.3810882,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,48,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810880,Where &amp; What Anomaly? A Framework for Pose-Agnostic Anomaly Detection and Zero-Shot Semantic Classification,Zhaokun Huang; Yonghong Song; Heyao Zhang,"Xi’an Jiaotong University, Xi'an, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,884-892,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810880,https://dl.acm.org/doi/10.1145/3805622.3810880,https://dl.acm.org/doi/pdf/10.1145/3805622.3810880,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,31,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810869,TAVEN: Task-driven Adaptive Viewpoint Exploration for Training-Free 3D Spatial Reasoning and Understanding,Shuyi Jiang; Zhihao Yuan; Na Zhao,"Singapore University of Technology and Design, Singapore, Singapore; The Chinese University of Hong Kong, Shenzhen, Shenzhen, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,911-920,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810869,https://dl.acm.org/doi/10.1145/3805622.3810869,https://dl.acm.org/doi/pdf/10.1145/3805622.3810869,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,54,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810848,SGFR-Track: Uncertainty-Gated Spectral Feature Restoration for Online Multi-Object Tracking,Zheng Liang; Yisu Liu; Shuo Yang,"Inner Mongolia University, Hohhot, China; Hunan University of Technology, Zhuzhou, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,921-929,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810848,https://dl.acm.org/doi/10.1145/3805622.3810848,https://dl.acm.org/doi/pdf/10.1145/3805622.3810848,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,22,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810812,CHM: Context Hiding and Misguidance for Robust Adversarial Attacks on Active Speaker Detection,Xiangyu Ye; Yatie Xiao; Qingxiao Guan; Zhenbang Liu,"School of Computer Science and Cyber Engineering, Guangzhou University, Guangzhou, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,949-957,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810812,https://dl.acm.org/doi/10.1145/3805622.3810812,https://dl.acm.org/doi/pdf/10.1145/3805622.3810812,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,40,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810809,HIRNet: Hypergraph-Induced Iterative Reasoning Network for Crowd Counting,Ruihan Wang; Mengqi Lei; Siqi Li; Wei Bao,"Xiamen University, xiamen, China; Tsinghua University, beijing, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,958-966,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810809,https://dl.acm.org/doi/10.1145/3805622.3810809,https://dl.acm.org/doi/pdf/10.1145/3805622.3810809,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,45,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810828,Unveiling PEFT Robustness to Noisy Labels in VLMs: A Gradient-Loss Decoupling Perspective,Tengfei Ma; Weiran Pan; Wei Wei,"Huazhong University of Science and technology, Wuhan, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,967-976,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810828,https://dl.acm.org/doi/10.1145/3805622.3810828,https://dl.acm.org/doi/pdf/10.1145/3805622.3810828,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,55,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810843,Decoupling Multimodal Perception and Reasoning for Image Reasoning Segmentation with Large Language Models,Yiqing Shen; Feng Chen,"Johns Hopkins University, Baltimore, USA; JF Smartlnvest Holdings, Shanghai, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,977-985,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810843,https://dl.acm.org/doi/10.1145/3805622.3810843,https://dl.acm.org/doi/pdf/10.1145/3805622.3810843,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,45,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810841,Beyond Post-hoc Fusion: Rethinking Cross-Modal Interaction Timing in Few-Shot Learning,Liang Yang; Hongyuan Xiao; Songtao He; Ye Lin; Zhenchang Zhang,"College of Computer and Information Sciences, Fujian Agriculture and Forestry University, Fuzhou, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,986-995,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810841,https://dl.acm.org/doi/10.1145/3805622.3810841,https://dl.acm.org/doi/pdf/10.1145/3805622.3810841,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,46,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810840,GeoPro-Depth: Geometrically Consistent Prompting for Robust Metric Depth Completion,Xun Fang; Zixuan Hua; Lihua Zhang,"Fudan University, Shanghai, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,996-1005,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810840,https://dl.acm.org/doi/10.1145/3805622.3810840,https://dl.acm.org/doi/pdf/10.1145/3805622.3810840,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,53,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810845,A Unified Object-Centric Spatio-Temporal Graph Reasoning Framework for Audio-Visual Question Answering,Feifei Xu; Wenjing Zhu; Dongyang Li; Puzhe Li; Luobin Huang; Yu Xie; Zirui Xu,"Shanghai University of Electric Power, Shanghai, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,1006-1014,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810845,https://dl.acm.org/doi/10.1145/3805622.3810845,https://dl.acm.org/doi/pdf/10.1145/3805622.3810845,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,44,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810834,RainbowDreamer: Taming Semantic Controls for Attribute-Consistent Text-to-3D Generation,Weiyi Bu; Xiaodong Cun; Rui Yin; Jiantao Yuan; Wei Qi,"Zhejiang University, Hangzhou, China; Great Bay University, Dongguan, China; Hangzhou City University, Hangzhou, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,1015-1024,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810834,https://dl.acm.org/doi/10.1145/3805622.3810834,https://dl.acm.org/doi/pdf/10.1145/3805622.3810834,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,61,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810832,Text4Radar-V2X: Text-guided 4D Radar for Cooperative 3D Object Detection,Xiangyuan Peng; Kay Bierzynski; Lorenzo Servadei; Robert Wille,"Infineon Technologies AG/Technical University of Munich, Germany; Infineon Technologies AG, Germany; Technical University of Munich, Germany",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,1025-1034,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810832,https://dl.acm.org/doi/10.1145/3805622.3810832,https://dl.acm.org/doi/pdf/10.1145/3805622.3810832,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,72,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810831,Hierarchical Local–Global Context Modeling with Selective Modulation for Point Cloud Semantic Segmentation,Songtao Li; Di Zheng; Xihua Zou,"Key Laboratory of Photonic-Electronic Integration and Communication-Sensing Convergence, Southwest Jiaotong Univeristy, Chengdu, Sichuan, China and School of Information Science and Technology, Southwest Jiaotong Univeristy, Chengdu, Sichuan, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,1035-1044,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810831,https://dl.acm.org/doi/10.1145/3805622.3810831,https://dl.acm.org/doi/pdf/10.1145/3805622.3810831,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,57,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810830,SKG-VLA: Scene Knowledge Graph Priors for Structured Scene Semantics and Multimodal Reasoning for Decision Making,Zeyu Li; Lei Li,"Beijing University of Posts and Telecommunications, Beijing, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,1045-1054,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810830,https://dl.acm.org/doi/10.1145/3805622.3810830,https://dl.acm.org/doi/pdf/10.1145/3805622.3810830,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,46,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810646,PanoAdapter: Efficient Adaptation of Depth Foundation Models for Immersive Multimedia via Spherical Rectification,Wei Xue; Zhiyong Huo,"Nanjing University of Posts and Telecommunications, Nanjing city, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,1064-1072,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810646,https://dl.acm.org/doi/10.1145/3805622.3810646,https://dl.acm.org/doi/pdf/10.1145/3805622.3810646,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,40,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810622,Teaching Audio-Language Models to Reason over Time,Yufeng Xu; Yunjia Li; Hai Wang; Wei Li,"College of Computer Science and Artificial Intelligence, Fudan University, Shanghai, China; School of Computer Science, Nanjing University, Nanjing, China; College of Computer Science and Artificial Intelligence, Fudan University, Shanghai, China and Shanghai Key Laboratory of Intelligent Information Processing, Fudan University, Shanghai, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,1073-1082,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810622,https://dl.acm.org/doi/10.1145/3805622.3810622,https://dl.acm.org/doi/pdf/10.1145/3805622.3810622,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,40,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810618,Structure Aware Distillation for Multimodal Intent Understanding Under Missing Modalities,Lanlan Lu; Qimeng Yang; Yi Liu; Xinjun Pei; Jinmiao Song,"Xinjiang University, Urumqi, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,1083-1091,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810618,https://dl.acm.org/doi/10.1145/3805622.3810618,https://dl.acm.org/doi/pdf/10.1145/3805622.3810618,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,41,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810617,Context-Aware Interpretable Representations for Retrieval and Graph Convolutional Network Classification,Thiago César Castilho Almeida; Gustavo Rosseto Letício; Vinicius Atsushi Sato Kawai; Daniel Carlos Guimarães Pedronette,"UNESP - Universidade Estadual Paulista, Rio Claro, São Paulo, Brazil",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,1092-1101,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810617,https://dl.acm.org/doi/10.1145/3805622.3810617,https://dl.acm.org/doi/pdf/10.1145/3805622.3810617,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,52,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810614,STeP-Net: A Spatio-Temporal Perception Network for Action Detection,Kunfang Song; Guowei Yan; Jiaqing Wang; Shufen Ruan; Yanwen Wang,"School of Computer Science and Artificial Intelligence, Wuhan Textile University, Wuhan, China; School of Mathematics and Statistics, Wuhan Textile University, Wuhan, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,1102-1110,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810614,https://dl.acm.org/doi/10.1145/3805622.3810614,https://dl.acm.org/doi/pdf/10.1145/3805622.3810614,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,49,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
10.1145/3805622.3810640,Towards Robust Sparse-View 3D Gaussian Splatting via Hierarchical Depth and Multi-View Consistency,Jianhui Zheng; Zhiyong Huo; Jiahao Zheng,"Nanjing University of Posts and Telecommunications, Nanjing City, China",ICMR 2026,Proceedings of the 2026 International Conference on Multimedia Retrieval,ICMR '26: International Conference on Multimedia Retrieval,Amsterdam The Netherlands,1120-1127,2026-06-16,2026-06-15,https://doi.org/10.1145/3805622.3810640,https://dl.acm.org/doi/10.1145/3805622.3810640,https://dl.acm.org/doi/pdf/10.1145/3805622.3810640,,,,,,,,,,,ACM,https://creativecommons.org/licenses/by/4.0/legalcode,22,0,proceedings-article,2026-06-15T20:27:34.368848+00:00
